,TOTUSJH,TOTBSQ,TOTPOT,TOTUSJZ,ABSNJZH,SAVNCPP,USFLUX,TOTFZ,MEANPOT,EPSZ,MEANSHR,SHRGT45,MEANGAM,MEANGBT,MEANGBZ,MEANGBH,MEANJZH,TOTFY,MEANJZD,MEANALP,TOTFX,EPSY,EPSX,R_VALUE,CRVAL1,CRLN_OBS,CRLT_OBS,CRVAL2,HC_ANGLE,XRAY,fluorescence,Flare_time,Date
0,71.37090435,630377251.5,4.81E+21,1.55344E+12,5.358455031,4.62791E+11,1.08E+21,-4.76E+23,1993.135043,-0.574805559,23.07213699,4.715958205,30.65335406,135.375712,134.7113035,56.87224398,-0.001452932,4.90E+21,0.439348424,-0.004434002,7.87E+22,0.107889174,0.000214759,0.563414639,241.4185682,244.614687,-4.138321605,-14.19152892,29.67899615,97.64992471,2.84E-05,9,5/1/2010
1,131.7924999,1508717085,9.42E+21,2.72839E+12,8.059791115,6.99167E+11,2.73E+21,-1.35E+24,1765.253374,-0.619309231,22.02698374,3.407133008,28.76897886,122.5139601,122.5582624,49.38096653,-0.001887722,6.11E+22,0.483975851,-0.007776459,2.55E+23,0.003773726,0.026994337,1.062259582,225.1706506,231.3897039,-4.037070701,-1.354974668,38.59999094,3.775737,2.80E-06,9.333333333,5/2/2010
2,139.2965315,1457810805,1.18E+22,2.9504E+12,16.71480803,8.76629E+11,2.37E+21,-1.12E+24,2392.142434,-0.568631253,25.714869,8.89160323,33.11875692,121.0948925,121.7986568,53.43844285,-0.000807243,5.81E+22,0.252465148,-0.003593123,1.98E+23,-0.038757336,0.050350997,1.510737138,222.8635743,218.1994667,-3.934354319,5.823379156,38.7300543,3.660014498,4.13E-05,14.33333333,5/3/2010
3,180.3010545,1742198233,1.43E+22,3.6622E+12,26.88772738,1.43462E+12,2.87E+21,-1.35E+24,2141.697049,-0.608840951,23.92267181,6.125637861,30.46182366,117.1243481,118.3055795,49.47023623,-0.00588677,1.73E+23,0.158855415,-0.017319433,3.91E+22,-0.016996646,0.078385329,1.580409147,219.670217,205.0769566,-3.831990976,5.641060914,43.13326254,46.78533493,3.17E-05,19,5/4/2010
4,278.6078343,2858860601,3.03E+22,5.44239E+12,69.7512991,3.16814E+12,4.21E+21,-1.87E+24,2933.557595,-0.549630723,25.6945507,8.971417661,33.23371718,121.6556811,122.5614226,55.89144424,-0.009250592,3.06E+23,0.333587217,-0.022854761,4.18E+22,-0.038826617,0.030984655,1.800599407,193.745876,191.8744145,-3.728569991,6.768545616,40.09774028,73.66067401,4.42E-05,13.66666667,5/5/2010
5,247.2294293,2492863175,2.52E+22,4.87588E+12,56.79375075,2.70889E+12,3.78E+21,-1.70E+24,2437.879261,-0.568484379,24.64103532,6.648511594,31.21610524,126.6022041,126.3000825,53.06605927,-0.005476196,2.45E+23,0.030122518,-0.016118197,-7.12E+22,-0.069118935,0.07627158,1.4912644,188.1523801,179.0797952,-3.625343197,7.058315067,38.85470226,6.47822736,2.62E-05,14.7,5/6/2010
6,205.6496393,1946546979,1.72E+22,4.44785E+12,32.34543856,1.84369E+12,3.40E+21,-1.48E+24,2132.685245,-0.582787979,24.78526775,7.886355163,31.73802613,122.9354824,122.9407759,51.88775986,-0.00141298,1.30E+23,0.011888149,-0.003179555,-9.07E+22,-0.007160274,0.057603875,1.533590353,179.4552906,165.9471249,-3.519526177,-0.421813783,38.63518952,26.76093281,4.40E-05,33,5/7/2010
7,158.7177488,1189975838,9.49E+21,3.70047E+12,13.77909521,1.02836E+12,2.35E+21,-9.51E+23,1872.21323,-0.598512438,25.06316503,6.880849219,31.15565958,129.645191,128.1143762,52.66061058,0.000820256,8.44E+22,0.181431311,0.005151406,-6.57E+22,0.010910616,0.067633986,1.143385389,165.1709721,152.1850034,-3.408272,-5.604049667,33.07412804,58.43437609,3.20E-05,14,5/8/2010
8,131.2892619,1130455467,8.42E+21,3.10692E+12,13.22232243,1.02226E+12,2.28E+21,-9.58E+23,1627.08123,-0.612600982,25.24557915,8.100941734,30.99033199,114.2352545,114.6037248,44.70086918,0.002287151,7.85E+22,0.182976493,0.012792833,-2.33E+23,0.032177372,0.129420102,1.196403532,163.9384689,139.2678884,-3.301746648,-4.752927776,36.5234714,6.307597134,1.92E-05,33.5,5/9/2010
9,150.4378315,1485144895,8.99E+21,3.55108E+12,11.6317046,1.05071E+12,3.16E+21,-1.38E+24,1431.487976,-0.628931913,23.29436092,6.282176044,29.91047305,109.8572269,110.1178539,43.75153274,0.000980749,6.96E+22,0.149790837,0.006060417,-3.95E+23,0.06674575,0.180793499,1.336267652,153.2862701,125.7414661,-3.19069631,2.197901,35.85235447,3.240385685,5.10E-05,71,5/10/2010
10,100.1661636,884121464.2,5.40E+21,2.41836E+12,9.749131039,8.97244E+11,1.97E+21,-8.22E+23,1422.175263,-0.648981903,23.73452663,6.688435877,29.18202283,113.6055706,113.6761394,44.25457651,0.002135035,-2.58E+22,0.252486111,0.009929081,-2.55E+23,0.083528125,0.230742497,1.775997493,145.9417486,113.758965,-3.090275876,-6.525329435,37.46007332,2.005989212,4.58E-05,27,5/11/2010
11,39.7956229,318082407.8,2.40E+21,9.50867E+11,3.854961158,3.74363E+11,6.73E+20,-2.77E+23,1578.418915,-0.663876517,22.36759171,2.587548203,26.45911497,122.5803383,121.5443712,44.28272094,0.000378874,-3.42E+22,0.20571858,0.002802059,-1.16E+23,-0.016780212,0.208590577,0.909060699,122.2564027,98.3202409,-2.962252628,-5.250123673,35.96744049,5.400107138,2.82E-05,9,5/12/2010
12,15.2167461,125874568.7,8.89E+20,3.54067E+11,2.04778474,1.41141E+11,2.63E+20,-1.11E+23,1594.541417,-0.645889305,22.12058026,2.726098828,27.38761612,126.4245136,125.4066495,46.85795128,-0.004133255,2.82E+22,0.417075745,-0.015936518,-3.00E+22,-0.239838097,0.147996418,0.169547693,97.61954928,85.43452263,-2.851351682,20.42700591,33.15842388,2.996412734,1.78E-05,11.16666667,5/13/2010
13,15.26730086,116158932,9.33E+20,3.61941E+11,1.091842211,96830641036,2.45E+20,-9.73E+22,1687.748441,-0.63138701,22.8634033,2.974359603,27.66460626,127.603382,126.0515206,46.65190218,-0.000719709,3.41E+22,-0.202823699,-0.003460508,-3.45E+22,-0.223263875,0.222403996,0,90.15792574,72.52031598,-2.743959095,26.85038986,34.37568377,8.513109807,5.10E-05,18,5/14/2010
14,16.8153948,141477806.7,1.06E+21,4.02868E+11,1.302609245,1.30619E+11,3.02E+20,-1.25E+23,1585.052288,-0.658433014,22.9603947,2.487572993,27.03663833,118.7612759,117.7657368,40.92214209,0.000728235,2.76E+22,-0.207630294,0.002718053,-5.03E+22,-0.151419799,0.266749236,0,89.87911832,63.40217998,-2.662965141,26.83623305,38.90286288,4.178368059,1.78E-05,112,5/15/2010
15,25.8288899,219309452.2,1.65E+21,6.46954E+11,1.683645684,1.51428E+11,4.94E+20,-1.96E+23,1436.517395,-0.669724753,22.93291429,2.207209275,26.1383232,109.8385661,109.2886142,36.5410421,0.000555984,3.00E+22,0.054900884,0.003266566,7.78E+22,-0.143411554,-0.255344798,0,-33.98737749,5.868788908,-2.164719685,17.88593332,44.02021712,2.467985472,0.000109715,29.33333333,5/19/2010
16,41.85001962,333943474.8,2.85E+21,9.91741E+11,4.207140958,3.26718E+11,6.36E+20,-2.55E+23,1838.119034,-0.59950904,24.54978303,5.546198753,30.1665295,124.0158096,123.0231589,49.15492414,-0.003252579,4.61E+22,0.640704417,-0.013908397,1.05E+23,-0.177734029,-0.220023197,0.214659641,322.1595673,350.2395662,-2.055189376,14.99622322,34.07678887,15.93526057,1.59E-05,114,5/20/2010
17,86.54377847,889811690.7,1.19E+22,1.84271E+12,11.56134471,6.61027E+11,9.63E+20,-3.50E+23,2991.940403,-0.501707293,27.11418872,11.1789289,35.88795394,127.8811845,126.8892024,62.11432318,-0.004834017,-2.95E+21,0.713109926,-0.019265274,1.50E+23,-0.167093962,-0.145116963,0.748073957,323.1233606,340.7663537,-1.94325454,8.857159705,25.98008465,5.906613201,1.18E-05,159,5/21/2010
18,128.4932709,1766173098,3.05E+22,2.86562E+12,26.57074053,1.02253E+12,1.57E+21,-3.90E+23,3544.128621,-0.461369752,27.33862209,13.9317434,37.51586034,130.8319321,130.5556851,63.49297444,-0.005545319,-4.66E+22,0.687946932,-0.017954872,8.87E+22,-0.192072136,-0.017137792,0.814654888,321.7524942,326.2557662,-1.816436559,10.42988024,20.87362181,3.841500352,6.47E-05,18,5/22/2010
19,119.5135841,1799610877,3.09E+22,2.67123E+12,20.18052349,5.56978E+11,1.64E+21,-4.32E+23,3183.939803,-0.518105521,26.87855716,11.86855115,34.52079542,120.3277943,119.7065542,53.15498274,-0.00234309,-5.50E+22,0.214050495,-0.007748276,-4.04E+22,-0.166766352,0.060925387,0.326942044,314.5584632,313.823889,-1.704984732,11.75416805,25.87844374,4.527935159,0.000173528,21.8,5/23/2010
20,116.6337231,1724596528,2.77E+22,2.61309E+12,14.15736995,5.57391E+11,1.73E+21,-5.49E+23,3388.145149,-0.527465933,27.0844457,12.36398553,33.8714356,124.0855844,123.4112897,52.71557532,-0.003748034,-5.87E+22,0.260051086,-0.01321004,-1.66E+23,-0.124744672,0.103473763,0.339377611,312.8290721,300.8145139,-1.588769934,9.982828332,30.18122394,3.769985344,1.85E-05,33,5/24/2010
21,94.76200971,1383174347,2.08E+22,2.14845E+12,9.403298888,3.44658E+11,1.63E+21,-5.74E+23,2800.150078,-0.584173457,25.53293834,9.809984806,31.0192535,110.1736128,109.935269,43.19126925,-0.003006795,-1.52E+22,0.015822857,-0.011134457,-1.08E+23,-0.10158526,0.007443018,0.644962876,286.5572703,287.1941174,-1.466671139,13.52442618,40.56207826,8.823732296,1.09E-05,55,5/25/2010
22,97.78059003,1468566232,2.01E+22,2.09481E+12,7.551924098,3.20401E+11,1.79E+21,-7.22E+23,2791.703633,-0.562445065,24.93563967,8.449987709,31.50195661,115.8012902,115.9942761,48.23917782,-0.003654715,-6.42E+21,0.174927738,-0.013881443,-1.10E+23,-0.121024647,-0.038999531,0.784709675,273.0838606,274.058245,-1.34864522,12.73707758,37.52806257,7.621743683,2.30E-05,77.5,5/26/2010
23,100.2985329,1510250121,1.81E+22,2.08359E+12,4.576941546,5.11616E+11,2.05E+21,-8.87E+23,2494.20365,-0.574428578,23.43023987,6.660639624,29.95937488,115.6692413,115.6086419,46.39282824,-0.002264868,6.43E+21,0.263576618,-0.008749103,-7.44E+22,-0.12213637,-0.034466519,1.228308466,258.6628055,261.1766321,-1.232763627,12.31737158,39.28891737,3.31352662,7.99E-05,53,5/27/2010
24,76.5423993,919982789.9,8.40E+21,1.63703E+12,5.890048008,4.15469E+11,1.53E+21,-6.92E+23,1866.415473,-0.611329637,22.60731214,4.187301894,29.00946896,117.3600312,116.4386535,46.85374166,-0.000965943,4.36E+22,0.386982046,-0.004735526,9.19E+22,-0.100464096,-0.053947283,0.962473536,240.2916558,247.6918736,-1.11091747,11.04673325,36.06107517,4.228604022,1.95E-05,26,5/28/2010
25,93.79726934,879706989.4,7.20E+21,1.9841E+12,5.221009621,4.37441E+11,1.41E+21,-6.60E+23,2280.426125,-0.558595192,25.71852673,8.815267773,33.83149828,126.9183382,126.5412471,56.40313807,-0.000587428,4.32E+22,0.211248758,-0.001220036,8.51E+22,-0.079241802,0.016510706,0.816869326,240.1511708,234.8171538,-0.9936514,11.49575126,34.00536155,2.651285657,4.82E-05,8.625,5/29/2010
26,92.02562826,896450720,7.24E+21,1.8865E+12,5.764342,4.6175E+11,1.37E+21,-6.47E+23,2282.621398,-0.561649542,24.32602596,6.456098775,32.45333713,127.0465735,126.2899379,57.13109763,0.000901663,3.53E+22,0.342415748,0.001350813,2.28E+22,-0.079011017,0.064013426,1.283931668,234.4791437,221.6556488,-0.874622751,10.29285158,33.50820196,5.752989181,3.00E-05,6.666666667,5/30/2010
27,48.73761324,338814245.1,2.71E+21,1.10148E+12,3.330789865,4.16641E+11,6.15E+20,-2.41E+23,1843.56161,-0.56810363,24.57741293,6.852663291,32.3250224,133.5981829,132.3892773,57.75445883,-5.42E-05,5.28E+21,0.313760232,-5.64E-05,1.70E+22,-0.003067423,0.082605549,0.366872836,217.4547584,207.8509952,-0.749188395,1.599809173,28.00369063,3.853283407,3.50E-05,45.5,5/31/2010
28,81.73082781,697769628.8,6.81E+21,1.80019E+12,5.170351614,6.21085E+11,9.77E+20,-4.04E+23,2359.815488,-0.524640615,27.2907695,11.63986142,36.6494282,131.0570017,130.8212616,61.23960875,0.000296342,-9.81E+22,0.381540787,0.002297879,-2.26E+22,0.052126914,0.07103286,0.882245785,205.1301959,194.8443035,-0.631357996,-11.70633449,28.10337397,7.003545827,8.70E-05,68.5,6/1/2010
29,139.0847017,1546669128,1.87E+22,3.0182E+12,6.901909487,7.59258E+11,1.79E+21,-7.51E+23,2812.873703,-0.538464887,27.05718896,11.83423418,35.52021432,128.7014003,128.4144136,59.17026859,0.000434355,-1.37E+23,0.284830794,0.00142776,-1.95E+23,0.041295359,0.111574667,1.070503905,198.5051043,180.9719164,-0.506516471,-13.05895464,31.89140401,106.1257797,0.000105008,38.2,6/2/2010
30,178.8941554,2519568075,3.73E+22,3.81378E+12,13.47047538,7.8599E+11,2.48E+21,-9.77E+23,3286.852331,-0.541052485,26.81914353,12.49485337,34.7402338,129.3487257,130.0532762,58.41210161,-0.001070993,-1.17E+23,0.256407398,-0.003516274,-3.14E+23,-0.004891636,0.088182571,1.398073419,185.948274,168.9161376,-0.394662335,-5.114394624,34.12171956,32.46099258,0.000264091,29.83333333,6/3/2010
31,183.9006668,2682127576,3.47E+22,3.88399E+12,11.04405319,7.16276E+11,3.13E+21,-1.37E+24,2991.730565,-0.540674135,26.78235487,10.8494644,33.68301397,124.4931313,124.2442726,52.97801884,-8.08E-05,-8.38E+22,-0.004640516,0.000295499,-4.37E+23,0.00919508,0.109286301,1.09806953,179.9629992,154.9948797,-0.268517577,-1.654170734,36.48629505,5.740317323,9.13E-06,6,6/4/2010
32,178.1840806,2604219261,2.66E+22,3.58105E+12,12.61073492,8.39233E+11,3.58E+21,-1.75E+24,2497.866043,-0.578388363,24.34835543,6.782028377,30.74823725,112.9871885,113.4250648,47.06517711,0.002476359,-3.72E+22,-0.025244938,0.006974708,-4.77E+23,0.052900912,0.123005542,1.76275736,177.6817954,142.2255478,-0.151478476,-3.991121519,42.8709704,12.7456535,0.002177938,13.81818182,6/5/2010
33,104.4986605,1583747993,1.41E+22,2.0329E+12,9.390229111,7.14829E+11,2.34E+21,-1.18E+24,1842.970301,-0.6415882,21.41480621,4.069543842,27.92977819,106.7500436,107.0190617,42.52550271,0.000167778,-3.29E+22,-0.070968722,-0.000322346,-2.81E+23,0.102928562,0.180745062,1.342031301,171.3762787,129.5036139,-0.033916467,-3.653776425,47.24505203,23.30450312,3.42E-05,159,6/6/2010
34,71.07256851,682760787,5.61E+21,1.51719E+12,15.58337593,9.27145E+11,1.05E+21,-5.13E+23,2751.361438,-0.517173486,28.98576988,16.08432087,38.08293654,125.3263883,127.9826897,61.41936094,0.01096966,1.62E+22,0.560402745,0.039053018,-4.40E+22,-0.03265516,-0.014893346,2.469534049,129.1617691,114.8406265,0.097446853,8.749969424,42.30090236,4.810215097,0.000114546,30.23076923,6/7/2010
